user_id,user_segment,arpu_tier,plan_type,total_data_gb,arpu_zar,absolute_error_gb,pct_streaming,pct_social,pct_messaging,pct_gaming
SUB8984705,"Revenue Driver (High ARPU, High Data)",High (R200-500),Postpaid_Premium,4.13474,357.09,0.2190309408814981,20.257611241217795,55.386416861826696,14.402810304449648,9.953161592505854
SUB6140709,Regular User,Mid (R100-200),Prepaid_Monthly,1.00957,109.11,0.17698910635330356,15.09433962264151,9.81132075471698,6.415094339622642,68.67924528301886
SUB3654810,Regular User,Mid (R100-200),Prepaid_Daily,1.04403,133.86,0.09241737925154458,73.98373983739837,22.764227642276424,0.8130081300813009,2.4390243902439024
SUB6876924,"Revenue Driver (High ARPU, High Data)",High (R200-500),Postpaid_Premium,3.8800700000000004,336.88,0.7660478254117309,52.20125786163522,37.106918238993714,2.8301886792452833,7.8616352201257875
SUB3498002,Regular User,Mid (R100-200),Postpaid_Unlimited,1.3349600000000001,134.93,0.21392431855385374,15.0,62.33333333333334,1.6666666666666667,21.0
SUB9736347,"Revenue Driver (High ARPU, High Data)",High (R200-500),Postpaid_Unlimited,3.89173,337.81,0.614082354512723,36.84931506849315,39.45205479452055,10.41095890410959,13.287671232876713
SUB4731622,Regular User,Mid (R100-200),Prepaid_Daily,1.59625,196.73,0.1521142063065315,43.046357615894046,13.90728476821192,28.47682119205298,14.56953642384106
SUB4855933,"Upsell Opportunity (Low ARPU, Low Data)",Mid-Low (R50-100),Postpaid_Basic,0.2532,96.18,0.013154226845718209,4.285714285714286,30.714285714285715,28.571428571428577,36.42857142857143
SUB8842680,Regular User,High (R200-500),Prepaid_Daily,2.13985,258.62,0.6936807673898602,43.73333333333333,12.000000000000002,30.666666666666664,13.600000000000001
SUB5228456,"Upsell Opportunity (Low ARPU, Low Data)",Mid-Low (R50-100),Prepaid_Daily,0.54184,76.69,0.1676485102370967,13.600000000000001,32.8,6.4,47.199999999999996
SUB1769598,Regular User,High (R200-500),Prepaid_Daily,3.24315,384.23,0.23543435824911363,26.63115845539281,45.67243675099867,9.320905459387482,18.375499334221036
SUB7445860,Regular User,Mid (R100-200),Prepaid_Monthly,1.60514,156.37,0.14068862444604502,12.444444444444445,35.77777777777778,6.444444444444445,45.333333333333336
SUB6088890,Regular User,Mid (R100-200),Postpaid_Basic,1.3016500000000002,167.32,0.3689718798717998,21.656050955414013,67.51592356687898,10.828025477707007,0.0
SUB6196467,"Upsell Opportunity (Low ARPU, Low Data)",Mid-Low (R50-100),Prepaid_Daily,0.31798000000000004,51.2,0.04825706546291275,33.56164383561644,43.150684931506845,19.17808219178082,4.109589041095889
SUB6628573,"Upsell Opportunity (Low ARPU, Low Data)",Mid-Low (R50-100),Prepaid_Monthly,0.55328,72.9,0.05058686949584623,14.285714285714288,59.006211180124225,1.8633540372670807,24.84472049689441
SUB3332127,"Revenue Driver (High ARPU, High Data)",High (R200-500),Postpaid_Basic,5.2140699999999995,386.63,0.6274025013462232,35.091743119266056,54.70183486238531,9.40366972477064,0.8027522935779817
SUB9837590,Regular User,High (R200-500),Postpaid_Basic,2.6227,256.95,0.6915886676861134,28.60520094562648,54.37352245862884,12.056737588652485,4.964539007092199
SUB1611213,"Upsell Opportunity (Low ARPU, Low Data)",Mid-Low (R50-100),Prepaid_Monthly,0.78962,91.66,0.2079668819442868,53.37837837837838,29.72972972972973,12.162162162162161,4.72972972972973
SUB3654965,Regular User,Mid (R100-200),Postpaid_Basic,1.3208900000000001,168.62,0.09059548410259644,27.514792899408285,35.50295857988166,21.597633136094675,15.384615384615385
