user_id,strategic_segment,arpu_zar,total_data_gb,absolute_error_gb,prediction_accuracy_pct
SUB8984705,Low Margin Heavy (Optimize),357.09,4.13474,0.2190309408814981,94.70266713550312
SUB6140709,Other,109.11,1.00957,0.17698910635330356,82.46886235196138
SUB3654810,Other,133.86,1.04403,0.09241737925154458,91.14801497547536
SUB6876924,Other,336.88,3.8800700000000004,0.7660478254117309,80.25685553580912
SUB3498002,Other,134.93,1.3349600000000001,0.21392431855385374,83.97522633233552
SUB9736347,Other,337.81,3.89173,0.614082354512723,84.22083868837964
SUB4731622,Other,196.73,1.59625,0.1521142063065315,90.47052740444595
SUB4855933,High Margin (Upsell Target),96.18,0.2532,0.013154226845718209,94.8048077228601
SUB8842680,Other,258.62,2.13985,0.6936807673898602,67.58273863168633
SUB5228456,High Margin (Upsell Target),76.69,0.54184,0.1676485102370967,69.05940679220863
SUB1769598,Other,384.23,3.24315,0.23543435824911363,92.74056524523647
SUB7445860,Other,156.37,1.60514,0.14068862444604502,91.2351181550491
SUB6088890,Other,167.32,1.3016500000000002,0.3689718798717998,71.65352591927171
SUB6196467,High Margin (Upsell Target),51.2,0.31798000000000004,0.04825706546291275,84.82386770774491
SUB6628573,High Margin (Upsell Target),72.9,0.55328,0.05058686949584623,90.85691340806711
SUB3332127,High Value High Error (Model Fix),386.63,5.2140699999999995,0.6274025013462232,87.96712546348202
SUB9837590,Other,256.95,2.6227,0.6915886676861134,73.63066047637498
SUB1611213,Other,91.66,0.78962,0.2079668819442868,73.66240952049253
SUB3654965,Other,168.62,1.3208900000000001,0.09059548410259644,93.14133015598601
SUB1956011,High Value High Error (Model Fix),377.8,5.05509,1.574649928004416,68.85020982802648
SUB4144480,Low Margin Heavy (Optimize),530.47,7.26766,0.1431002994827999,98.03099898065128
SUB7334625,Other,221.35,2.4240500000000003,0.5201727612841265,78.54117030242254
SUB5620650,High Value High Error (Model Fix),1350.14,23.34998,3.2186692176151723,86.21553758240833
SUB6882545,Other,156.94,1.61229,0.3335345474053888,79.31299286075155
SUB5510579,Other,113.87,1.0696199999999998,0.10395451304296599,90.28117340336138
SUB7281328,Other,138.9,1.38502,0.004598531078848778,99.66798088988976
SUB4434955,Other,139.7,1.39506,0.11286718346366365,91.90951045376804
SUB4073961,High Margin (Upsell Target),79.0,0.5133,0.03846459900477256,92.50640970099892
SUB8710611,Other,154.36,1.5798599999999998,0.09084004644837074,94.25012048862743
SUB4612610,Other,224.74,2.46675,1.0017461531655383,59.39004142432196
SUB9228736,High Margin (Upsell Target),63.72,0.42792,0.014847760249734221,96.53024858624644
SUB9913613,Other,305.62,3.48606,0.2162760182031791,93.79597545070426
SUB3959470,Other,311.42,3.42553,0.35955052747550553,89.50379860998136
SUB6963132,High Margin (Upsell Target),62.1,0.41708999999999996,0.04425006026480882,89.39076451969387
SUB1727468,High Margin (Upsell Target),82.37,0.59177,0.01714096015388389,97.1034421897217
SUB7881289,High Margin (Upsell Target),38.95,0.21033000000000002,0.0606044090526513,71.18603667919399
SUB2916796,Other,219.95,2.4064,0.060104644675097685,97.50230033763724
SUB3192271,High Margin (Upsell Target),77.87,0.5522,0.12744887292246299,76.91979845663474
SUB6044080,Other,222.63,2.44021,0.06936130952015374,97.15756801586119
SUB7374825,Other,100.25,0.89786,0.03538897699163901,96.05851948058283
SUB9271330,Other,182.15,1.93007,0.20518902996860766,89.36882962956744
SUB7424788,High Value High Error (Model Fix),980.71,15.32549,1.7637581221519891,88.49134270974703
SUB5275542,Other,164.56,1.70838,0.2909625458953511,82.96851134435248
SUB8752950,Other,258.73,2.8951100000000003,0.09305478429930147,96.78579451905794
SUB8541714,High Margin (Upsell Target),91.15,0.66886,0.0807945596639228,87.92055741651126
SUB3971783,Other,316.36,3.62147,0.4537494081217486,87.47057387961937
SUB6547094,High Margin (Upsell Target),45.47,0.26767,0.02195910047790961,91.79620410284693
SUB3801818,Other,186.22,1.5038900000000002,0.4420395448878891,70.60692305368816
SUB9704434,High Margin (Upsell Target),89.81,0.15937,0.03514229199621123,77.94924264528379
SUB8256300,Other,141.25,1.10888,0.0445820455363517,95.97954282371838
SUB3745683,High Value High Error (Model Fix),561.16,8.17216,1.3142898582204499,83.91747275848185
SUB8169158,High Margin (Upsell Target),29.0,0.07672,0.03232698214162986,57.863683339898515
SUB9634939,Other,265.01,2.97426,0.89816144827812,69.80218782896856
SUB8596713,High Margin (Upsell Target),87.2,0.63414,0.1365336648369741,78.46947600892956
SUB7397986,High Value High Error (Model Fix),921.48,14.37172,3.775470165710722,73.72986555742304
SUB9421374,Other,79.36,0.63462,0.022099359896144866,96.51770194822967
SUB7150208,Other,79.62,0.6379900000000001,0.021398946241258487,96.64588061862122
SUB4031863,Other,87.19,0.73339,0.007710910662735326,98.94859342740762
SUB5873594,Other,291.95,3.1385,0.15835672600198203,94.95438183839471
SUB9571632,High Margin (Upsell Target),79.0,0.35535,0.08756012413516784,75.35946978045087
SUB2447947,High Margin (Upsell Target),106.56,0.40612,0.046196068912449095,88.62501996640178
SUB8615487,Other,299.08,3.40367,0.0746077030005936,97.80802184111288
SUB2822744,High Value High Error (Model Fix),440.59,6.128640000000001,0.5203176785290982,91.51006294171141
SUB4338669,High Margin (Upsell Target),32.6,0.04535,0.0009569821416298627,97.88978579574452
SUB2268300,High Value High Error (Model Fix),702.75,10.84936,1.432379121616183,86.79757034870092
SUB3911190,Low Margin Heavy (Optimize),709.06,9.85592,0.3136996066121487,96.81714536428716
SUB5228021,Low Margin Heavy (Optimize),348.76,4.0297600000000005,0.33182885448259647,91.76554299802974
SUB1785786,Other,196.31,2.10854,0.0716158095150945,96.60353564480188
SUB9400944,Low Margin Heavy (Optimize),599.84,8.27311,0.035550281426653285,99.57029120334852
SUB8997488,Other,94.51,0.82559,0.040992612220920766,95.03474942514798
SUB3903561,Other,204.72,1.66642,0.3665999808358924,78.00074526014495
SUB8948838,High Margin (Upsell Target),45.49,0.26779000000000003,0.02121818866824643,92.07655675408103
SUB9122734,Low Margin Heavy (Optimize),343.21,3.95982,0.5997222886968703,84.85480934242288
SUB5466951,High Margin (Upsell Target),55.86,0.33855,0.012278138313074949,96.3733161089721
SUB6254230,Other,102.74,0.92934,0.12187988264152017,86.88532908929777
SUB7269324,High Margin (Upsell Target),60.94,0.40354,0.1487075732239721,63.14923595579816
SUB4294900,Low Margin Heavy (Optimize),1532.53,26.57357,0.308817367413468,98.83787775818804
SUB1627475,Other,268.77,3.0217199999999997,0.3534069966334581,88.30444261435679
SUB4781876,Other,102.43,0.92545,0.03008716884812923,96.74891470656121
SUB7113100,Low Margin Heavy (Optimize),402.86,4.7114899999999995,0.300854039703113,93.61446082442893
SUB3211738,Other,79.44,0.63564,0.16878395851689088,73.44661152273443
SUB1850122,Other,143.87,1.44759,0.3103646816954897,78.55990427569341
SUB3327654,High Margin (Upsell Target),79.0,0.24112,0.07522695533156318,68.80103046965695
SUB2572138,High Margin (Upsell Target),51.12,0.27876,0.06985701481609005,74.9400865202719
