Feature,Importance,Percentage,Cumulative
hours_streaming,0.73265407940747,73.26540794074698,73.26540794074698
network_type,0.1857790270995977,18.57790270995977,91.84331065070675
plan_type,0.057003257940270356,5.700325794027035,97.54363644473379
hours_social,0.017119025101684206,1.7119025101684202,99.2555389549022
hours_gaming,0.003960686148831569,0.3960686148831568,99.65160756978537
hours_messaging,0.0024892327895883084,0.2489232789588308,99.9005308487442
device_type_Tablet,0.00043299679820455264,0.04329967982045525,99.94383052856465
device_type_Premium_Smartphone,0.00024084828420282148,0.02408482842028214,99.96791535698493
is_peak_hour_user,0.00022700893816879296,0.02270089381687929,99.9906162508018
age_group,4.989221483623131e-05,0.00498922148362313,99.99560547228543
is_weekend,3.26612545787732e-05,0.0032661254578773193,99.99887159774332
device_type_Mid_Range,9.815517219214538e-06,0.0009815517219214536,99.99985314946524
device_type_Basic_Phone,1.4685053477807139e-06,0.00014685053477807135,100.00000000000001
